id,input_sentence,label,prediction,confidence,confidence-t,confidence-v,confidence-a
-HeZS2-Prhc[3],industry she pledged to fight unjustified of drugs if,[1. 0. 1. 0. 1. 0.],[1. 1. 1. 0. 1. 0.],0.40564424,7.6967826,0.31308568,0.1295336
-MeTTeMJBNc[0],okay what happens at this point after we've taken this brief walk down memory lane is the presentation of the gift now,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.42334384,8.502354,0.3261088,0.34954375
-MeTTeMJBNc[1],whatever it is it just needs to be a simple statement and then you present the gift,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40320003,6.7972565,0.30609006,0.31941116
-MeTTeMJBNc[2],panic a thinking oh my gosh fiftieth wedding anniversary fortieth wedding anniversary i've got to come up with something really good,[1. 0. 1. 0. 0. 0.],[1. 1. 1. 1. 1. 0.],0.40269637,7.71645,0.32483846,0.34445506
-MeTTeMJBNc[3],picture maybe you could find a picture of the couple from their wedding or sometime in their life or maybe even a current picture and have it put in a beautiful frame,[1. 0. 0. 1. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40439934,8.773175,0.31860268,0.33323598
-RfYyzHpjk4[0],so get your friends lined up get your business colleagues lined up and have a good time kathy,[1. 1. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.40264338,9.532198,0.28714103,0.27238843
-RfYyzHpjk4[1],you can make a conference call but it takes quite a bit of planning well not a lot of planning it's pretty easy to do what has,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39664733,9.739277,0.30179757,0.3399241
-RfYyzHpjk4[2],doing it's pretty pretty easy to do but you got to set up those numbers ahead of time you,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.4104836,7.5925784,0.29289675,0.34836155
-RfYyzHpjk4[3],time you can use it for personal use family friends internationally as long as they can call the states you've got a free conference call that can take place,[1. 0. 1. 0. 1. 0.],[1. 0. 0. 0. 0. 0.],0.39962852,9.716586,0.30881196,0.3269083
-UUCSKoHeMA[0],i mentioned a word in the last clip called and i want to talk about that briefly what you don't,[1. 0. 1. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40609783,8.154423,0.2950793,0.34100777
-UUCSKoHeMA[1],monotone now the big problem with being monotone obviously you'll put your audience to sleep a,[0. 0. 0. 1. 0. 0.],[1. 1. 1. 0. 0. 0.],0.41830403,6.5461307,0.29790306,0.28461397
-UUCSKoHeMA[2],monotone what monotone is is it means that you use only one pitch in your voice so that everything sounds exactly the same,[1. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.41986418,8.620407,0.3042413,0.28635797
-UUCSKoHeMA[3],three pitches two pitches always better than one which will leave you monotone now the big problem,[1. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.44376284,8.53765,0.32337725,0.3390324
-cEhr0cQcDM[0],information and i think that feeling of empowerment is much more valuable than the feeling you get on television not,[1. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4150244,9.800482,0.32310897,0.2899744
-cEhr0cQcDM[1],night before well they're not necessarily going to remember all that but they'll see that ad it gets triggered and they click on it they have,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.38970637,11.144332,0.3008577,0.3313194
-ri04Z7vwnc[0],going to get married or are already married i think finances,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39428937,8.443966,0.32607675,0.32615232
-ri04Z7vwnc[1],married i think finances for some reason has been a very delicate issue between couples most people,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.38670444,8.361266,0.30392987,0.34077555
-ri04Z7vwnc[2],couples most people think it'll sort itself out we'll discuss it later it's not something too important yet it,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.41543198,5.433634,0.31578934,0.3412779
-ri04Z7vwnc[3],spouse so i think it's important to discuss finances i think,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.41517085,9.904137,0.3129936,0.35201854
-ri04Z7vwnc[4],finances i think first it's important for individuals who are in a relationship or in a marriage to acknowledged to themselves what really are their financial goals what do they really,[1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.4182347,6.519575,0.3116259,0.34398824
-ri04Z7vwnc[5],financial goals what do they really want you know maybe a fancy car maybe a bigger house maybe a trip abroad what do they,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3984515,9.908114,0.28458452,0.32948303
-rxZxtG0xmY[0],i am a mother of two children who have finished their studies have done their masters but are now unemployed i,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.402385,8.375663,0.30565602,0.34038514
-rxZxtG0xmY[1],leave greece because of the financial recession many graduates leave the country to make a better future i will try,[0. 1. 1. 0. 0. 1.],[1. 1. 1. 0. 0. 0.],0.401551,9.70149,0.28892767,0.32656646
-s9qJ7ATP7w[0],they have doubt they have fear they lose in a ferrari race or they lose in a race and then they just give up but,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.38782305,7.984882,0.31229782,0.34852147
-s9qJ7ATP7w[1],up but the hardest thing in life to learn is to lose easy,[1. 1. 0. 0. 1. 0.],[1. 1. 0. 0. 0. 0.],0.4090011,7.7043724,0.29205024,0.32254428
-s9qJ7ATP7w[2],lose easy you win you're happy you get a high five your friends are happy it's your,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.41248,8.245003,0.29944676,0.1661756
-s9qJ7ATP7w[3],happy it's your ability to take a loss get up the next day dust yourself off and keep going i have lost,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.40112925,8.724211,0.28512347,0.31432694
-s9qJ7ATP7w[4],and keep going i have lost at everything you can imagine seriously i,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 1. 0.],0.38632214,8.12255,0.29003817,0.1959606
-s9qJ7ATP7w[5],seriously i have been beat up and put down and everything that can go wrong has gone wrong for me but i,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.40513313,6.986855,0.3037061,0.33450782
-s9qJ7ATP7w[6],for me but i just kept going i used,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.39847344,6.684554,0.29895604,0.33697855
-s9qJ7ATP7w[7],going i used to work for warren avis the guy who started avis rent a car and he said to me one day robert what's the purpose of business and i said oh,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.40400904,6.250618,0.29252917,0.31403142
-s9qJ7ATP7w[8],of business and i said oh make a profit and all these other things and he said no,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 0.],0.39984363,8.761003,0.3260826,0.31413627
-s9qJ7ATP7w[9],these other things and he said no the purpose of business is to create a customer because everything else takes care of itself it,[1. 1. 0. 1. 1. 0.],[1. 1. 1. 0. 0. 1.],0.40348428,8.549172,0.28207773,0.31076348
-yRb-Jum7EQ[0],vacuum it comes with the assistance and agitation of states and regimes yesterday iran announced that it will finance the families of the terrorists and murderers this shows that iran even after the nuclear agreement is continuing to aid terrorism including palestinian terrorism hezbollah terrorism and its assistance to hamas this,[0. 1. 0. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.39280075,8.065814,0.3486731,-0.06708145
-yRb-Jum7EQ[1],second the terrorism by those wielding knives the palestinian children also does not exist in a vacuum it comes,[0. 1. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 1.],0.39965707,10.1086855,0.34849173,-0.062241837
-yRb-Jum7EQ[2],a vacuum it comes from the palestinian education system which is controlled by the palestinian authority yesterday gelman,[0. 0. 0. 0. 1. 0.],[0. 1. 1. 0. 1. 1.],0.39669144,5.411707,0.3414184,0.3255831
-yRb-Jum7EQ[3],authority yesterday gelman lost his life in another terrorist attack not by the students of terrorism but by those who teach terrorism a palestinian teacher therefore the world,[0. 1. 1. 0. 1. 0.],[1. 1. 1. 0. 1. 1.],0.40492743,8.866956,0.3397007,0.31906575
-yRb-Jum7EQ[4],teacher therefore the world needs to stand with israel against this incitement which is the number one cause of terrorism,[1. 1. 1. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.40444672,8.327833,0.3321339,-0.23836921
0Fqav67TDEw[0],better so a very good way of helping yourself to remember your dreams better on a consistent basis is to keep a dream journal so,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.41593462,8.363996,0.3071766,0.32195568
0JaYazphxfM[0],onions however i feel it tastes better without onions because onions release water which makes the sticky keep,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.39763153,8.0362015,0.31216168,0.33592278
0JaYazphxfM[1],sticky keep asking me questions like this and i will try to solve any kitchen problems you might face,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.39119214,8.66598,0.27248937,0.33514738
0K7dCp80n9c[0],you crazy so it helps keep your resin doing what it's supposed to do it's really,[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.41356027,8.360322,0.30702043,0.224523
0K7dCp80n9c[1],supposed to do it's really designed for well water because that's the kind of water that typically will have an iron problem so,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3861555,9.336131,0.29733178,0.32470602
0K7dCp80n9c[2],rust out is a water softener resin cleaner specifically designed for well water or water that is iron bearing,[0. 0. 0. 0. 0. 1.],[1. 1. 1. 0. 0. 0.],0.39228755,7.81869,0.2769023,0.04429508
0K7dCp80n9c[3],it it's commonly the culprit behind those nasty iron stains in your toilet bowls or in your tub or even in your laundry sometimes and,[1. 0. 0. 0. 0. 1.],[1. 1. 1. 0. 1. 0.],0.3962139,6.039805,0.31756592,0.32513082
0K7dCp80n9c[4],sometimes and if your softener is working properly and you have low levels of iron your softener should be able to handle it,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.3947569,8.178108,0.29636812,0.3273372
0K7dCp80n9c[5],but what happens is the softener resin does not want to fully let go of all of the iron that it captures and the resin becomes fouled now,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.40615273,6.584299,0.2998711,0.34580845
0K7dCp80n9c[6],fouled now if you catch it early enough you can fix that problem so,[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 0.],0.39811087,8.393505,0.303361,0.30541575
0K7dCp80n9c[7],problem so do it right away don't wait until the problem arises use rust out layer,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39731443,7.1922417,0.29151416,0.33151132
0PlQc98SccA[0],joe echevarria of deloitte recently stated that white house discussions over the fiscal cliff are encouraging,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40754628,7.579717,0.31869566,0.32550603
0PlQc98SccA[1],cliff he also said that the president is getting a better sense of what steps need to be taken to prevent the crisis from erupting,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39766067,6.9438787,0.2945103,0.3193639
0PlQc98SccA[2],echevarria was one of fourteen of large organizations who met with the president earlier this week he,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.4078498,8.965099,0.30829,0.2764495
0YiAKqU36KE[0],the filth that you see in india with this throw away culture is a result of the fact that there is no industrially organized system to pick it up,[1. 0. 0. 0. 1. 0.],[1. 1. 1. 0. 1. 0.],0.3940562,7.2605176,0.3077467,0.31315315
0YiAKqU36KE[1],so every nook and corner every the is the ultimate commons becomes a place to throw your garbage into,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.39064252,9.949282,0.31953818,0.24348831
0YiAKqU36KE[2],about years ago i fought a case in the supreme court of india because toxic waste ships were being sent from the united states,[1. 0. 1. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.3974269,7.057925,0.313765,0.32549065
0YiAKqU36KE[3],and this information had been brought to me so i filed a case and,[1. 0. 0. 1. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40798134,9.057435,0.3219816,0.35478848
0YiAKqU36KE[4],case and when the judge asked so are you suggesting dr shiva,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39057904,7.9113464,0.2934735,0.3298313
0YiAKqU36KE[5],suggesting dr shiva that we are being treated like a waste dump i,[0. 1. 1. 0. 1. 0.],[0. 1. 1. 0. 1. 0.],0.40467203,9.394489,0.3255741,0.31676167
0YiAKqU36KE[6],dump i said yes we are,[1. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 1. 0.],0.40745866,7.6906757,0.32002264,0.20129582
0YiAKqU36KE[7],and it led to a huge series of investigations and a new alertness and what's,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.39256448,6.374729,0.3041336,0.33248895
0YiAKqU36KE[8],new alertness and what's basically happening is in countries like the us the waste isn't thrown by every consumer everywhere,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.38873,6.734132,0.29944474,0.32615066
0bxhZ-LIfZY[0],i think what will hold us back will be our weakness in implementation our deadlocked democracy if not educated will turn back on us which is something we need to clearly focus on education,[1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.38586575,7.7552447,0.29156756,0.3049274
0bxhZ-LIfZY[1],on education health care all these critical if not dealt with and kept to the last will turn india into less of a superpower than it can be,[0. 1. 1. 0. 0. 0.],[1. 1. 1. 0. 0. 1.],0.40367502,9.023914,0.29038662,0.32744277
0eTibWQdO5M[0],sense something else for you to consider is if you have to go to great lengths to work in this funny story or joke or antidote don't do it,[1. 0. 0. 0. 1. 0.],[1. 1. 1. 0. 0. 0.],0.38519615,8.319628,0.28366715,0.337862
0uftSGdwo0Q[0],setting up an informational interview is one of those things that a lot of companies and individuals are using right now,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.4054147,6.7069407,0.29682338,0.32940656
0uftSGdwo0Q[1],organization informational interviews work well for the candidates and for the company make sure,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.41874892,7.111973,0.30198562,0.34040868
0uftSGdwo0Q[2],informational interview a couple of things to remember one it could be in a group format the other is it could be in a one on one the real,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39226246,7.118646,0.2895736,0.31381285
0uftSGdwo0Q[3],company you could have it on a cd where you could actually just give it to that individual and have them take a look at it,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.38366288,10.060077,0.30247658,0.32599258
100178[0],hi there today we're going,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.4147337,5.110526,0.28855675,0.049831197
100178[1],hi there today we're going to be reviewing cheaper by the dozen which is umm the original version there's a second,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3976797,8.182344,0.30335933,0.22739884
100178[2],uhh the dad's getting hit by the kids or someone's acting up sort of thing not,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 1.],0.40331692,8.364371,0.31022036,0.33941215
100178[3],thing not all that funny and not all that original and i didn't think the acting was all that great either but,[0. 0. 0. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],0.39174765,7.120469,0.32664096,0.32549846
100178[4],great either but who knows i umm am probably tougher on movies than a lot of people this was pretty,[0. 0. 0. 1. 1. 0.],[1. 1. 1. 0. 1. 0.],0.39056063,7.131454,0.32558483,0.31548148
100178[5],lot of people this was pretty popular umm and it's a good choice for like i said kids or families umm so,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.39305007,6.14979,0.31050372,0.329049
100178[6],families umm so if you're looking for something it's sort of lighthearted umm it's,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.39443868,7.6997857,0.31077087,0.33333683
100178[7],lighthearted umm it's only cheaper by,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.4089362,6.415672,0.31806445,0.34260374
100178[8],only cheaper by the dozen is a good place to look but for me,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40533328,9.558038,0.3062873,0.34305793
100178[9],place to look but for me it only gets two stars out of five,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 0.],0.4032581,8.483359,0.3453315,-0.4355448
100178[10],version there's a second movie out now but this is uhh steve martin in the first role it tells the story,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.40323234,7.4657574,0.31967503,0.33891374
100178[11],first role it tells the story of umm a family with twelve kids and his attempts to raise them umm includes,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.3940577,7.169607,0.3201725,0.31503028
100178[12],them umm includes hillary duff bonnie hunt tom welling and piper umm,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.41412872,7.6555076,0.31634837,0.33328855
100178[13],umm all names that should be familiar with kids and some adults and so this kind of makes the movie have wide appeal i,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40928823,7.4220233,0.31687826,0.34053653
100178[14],appeal i didn't really like the movie i thought it was cheesy i think steve,[0. 0. 0. 0. 1. 0.],[1. 1. 1. 0. 1. 0.],0.3912,7.265833,0.3396386,0.17195484
100178[15],cheesy i think steve done other better things ebert and roper,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.40214175,7.903885,0.32478255,0.33564556
100178[16],better things ebert and roper apparently said two thumbs up here on the cover but for me it's probably two thumbs down umm,[1. 0. 0. 1. 1. 0.],[1. 1. 1. 1. 1. 0.],0.40576476,5.786863,0.34878933,0.15796407
100178[17],umm the humor seemed kind of contrived kind of you know slapstick,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 0.],0.40387952,9.990709,0.3171252,0.34120995
10219[0],hi i'm doing my video opinion for wolf's rain loss,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3958336,5.4644384,0.30400974,0.2673064
10219[1],this is the third in the series and it contains uhh four episodes episodes eleven twelve thirteen and fourteen,[0. 0. 0. 0. 0. 1.],[1. 1. 1. 0. 1. 0.],0.39580214,6.5855517,0.30335188,0.33034503
10219[2],overall i would give it a five out of five stars because i have the previous two and uhh,[1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.38991398,8.891603,0.33172703,0.3379445
10219[3],two and uhh it's just a great story so you have to continue the whole thing,[1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39146882,9.5179615,0.2975163,0.32569182
10219[4],but some of the things that happened in the third loss are the nobles really start eating up the world with the wolves and uhh some things happen with uhh blue you'll know who she is from the third and,[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],0.41021353,6.9007144,0.31771034,0.37506163
10219[5],they're just uhh great five,[1. 0. 1. 0. 0. 0.],[0. 1. 1. 0. 1. 0.],0.41568834,5.9724903,0.32969975,0.34923905
10219[6],it's very good it,[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.40858662,5.9169106,0.3067944,0.33591264
10219[7],very good it continues the story,[1. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],0.41501743,7.136531,0.294039,0.18861802
10219[8],it keeps the uhh it keeps up the expectations that uhh came to be expected from the first two of the series,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.4140178,11.305382,0.32360744,0.3397221
10219[9],and uhh it introduces umm a couple new characters umm new situations and it really adds a lot to the story you start learning,[0. 0. 1. 0. 0. 0.],[1. 1. 0. 1. 0. 0.],0.39218396,5.7539787,0.30436456,0.3415243
10219[10],to the story you start learning more about the story,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3970176,5.9093175,0.30754322,0.33136624
10219[11],it's a really great uhh collection of the episodes on the third,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],0.3826415,7.997064,0.30187374,0.33574396
10219[12],and if you enjoyed the previous two you have to continue the story,[0. 0. 1. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.39548928,8.522376,0.31412935,0.33602053
10219[13],because uhh great story,[0. 0. 0. 0. 0. 1.],[1. 1. 1. 0. 1. 0.],0.39717978,8.170195,0.33092576,0.33771366
102213[0],this is my review of a movie currently in theaters and that movie being evan almighty,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.40948868,9.00041,0.32520986,0.28354222
102213[1],i was a huge fan of the original film bruce almighty but i did think it was funny like jim,[1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 0.],0.38840997,8.009528,0.30450487,0.3374418
102213[2],there's definitely better ways to go about humor than making you know really jokes and there's a lot of moments like that the story sucks,[0. 0. 1. 0. 1. 0.],[1. 1. 0. 0. 0. 0.],0.4128524,6.977343,0.322877,0.36301035
102213[3],moments like that the story sucks the characters were really wooden and plain and i liked some of the actors and actresses so i'm not sure what was going on there it,[0. 0. 1. 0. 1. 0.],[0. 1. 1. 1. 1. 0.],0.4096899,9.07098,0.3500377,-0.3156615
102213[4],there it just seems like a really lousy effort by everybody and uhh i guess the box office is reflecting that unfortunately,[0. 0. 0. 0. 1. 0.],[0. 1. 1. 0. 1. 0.],0.40869063,4.8388286,0.37737638,-0.5808677
102213[5],reflecting that unfortunately it seems like it'll be a good bomb,[0. 1. 0. 0. 0. 1.],[0. 1. 1. 0. 1. 0.],0.409585,7.552951,0.32879913,0.33975226
102213[6],was funny like jim carey morgan freeman and i like steve too so i figured okay you know the sequel will be pretty good,[1. 0. 0. 0. 0. 0.],[1. 1. 0. 1. 0. 0.],0.40261883,9.623476,0.2871053,0.34874386
102213[7],then i heard that it was gonna have like a it was going way over budget it was going to be two hundred and fifty million then i,[0. 0. 1. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],0.40582305,6.662422,0.33379954,0.3515243
102213[8],million then i was thinking i don't know how a comedy can really be two hundred fifty million but you know i guess with all this hype it's worth seeing,[0. 1. 0. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],0.39621317,6.539882,0.36062902,0.3483315
102213[9],and i'm afraid it wasn't umm,[0. 1. 1. 0. 0. 1.],[0. 1. 1. 0. 1. 0.],0.41678226,7.836576,0.35064268,0.36165142
102213[10],all the money they seem to have spent on a giant arc and a bunch of live animals there,[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 0.],0.39223075,7.3366547,0.31549197,0.28564227
102213[11],animals there seems to be a ton of but there also seems to be a ton of real animals and i'm not sure why they would have blown all that money when they could have just you know it all because the animals really weren't that impressive,[0. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],0.39495593,7.265638,0.36231464,0.34778118
102213[12],it's definitely geared towards kids the story isn't as well done as bruce almighty seems to have targeted even a younger crowd,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.40967786,5.7878995,0.3182842,0.34655857
102213[13],like i mean there's a lot of animal poop jokes in there that really didn't need to be there,[0. 0. 0. 0. 1. 0.],[1. 1. 1. 1. 1. 0.],0.40198928,8.255804,0.32912296,0.34163463
102389[0],my children and i recently went to see the movie surf's up,[0. 0. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.38908643,7.5282207,0.30273783,0.31946117
102389[1],umm i was very disappointed in it,[0. 1. 1. 0. 1. 0.],[0. 1. 1. 0. 1. 0.],0.39510018,7.3420463,0.34734267,-0.59113395
102389[2],like that people or uhh the penguins were passing gas,[0. 0. 1. 1. 1. 0.],[1. 1. 1. 1. 1. 0.],0.38830912,7.871138,0.316014,0.3409059
102389[3],just some things in the movie and,[0. 1. 1. 0. 1. 0.],[0. 1. 1. 0. 1. 0.],0.40847474,7.5897355,0.3315469,0.20955715
102389[4],movie and in my opinion umm too i think we've had enough stutter penguin movies made in the last year umm,[0. 0. 1. 0. 1. 0.],[1. 1. 1. 0. 1. 0.],0.39285362,10.076963,0.31048048,0.33096445
102389[5],umm i've had my fill of it,[0. 0. 1. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.40896267,9.160569,0.32058007,0.22286545
102389[6],so i would highly recommend that you save your money uhh,[0. 1. 1. 0. 0. 0.],[1. 1. 1. 0. 0. 0.],0.3982519,8.400602,0.30480063,0.33215672
102389[7],it uhh was a commentary,[0. 0. 1. 0. 0. 0.],[1. 1. 1. 0. 1. 0.],0.39433426,7.9457226,0.29713297,0.31831604
